,Company Name,Use,Country,Description,Url,Email,Founders,Found Date,t1,t2,t3,t4,t5,t6,t7
225,Solutions," Education, Information Technology, Software",United States,"Meridian Knowledge Solutions is the leading provider of enterprise, web-based learning management software.", www.meridianks.com ,meridiansales@meridianks.com,—,1997,—,—,—,—,—,—,—
226,Group," Consulting, Information Technology, Internet, Internet of Things, Robotics, Software",United States,OpenNMS® Horizon is the world’s first enterprise grade network management platform published under the open source model., www.opennms.com/ ,sales@opennms.com,—,2004,"Jul 27, 2020",—,—,—,—,—,—
227,FABRIC," Education, Information Technology",United Kingdom,Integrated solutions for higher education, fullfabric.com ,hello@fullfabric.com,—,2012,—,—,—,—,—,—,—
228,Plan," Cycling, Fitness, Information Technology, Software, Sports, Training",Australia,Today’s Plan is smarter training for every cyclist., www.todaysplan.com.au ,info@todaysplan.com.au,—,"Dec 1, 2014",Sep 2019,—,—,—,—,—,—
229,Mawi," E-Learning, Education, Information Technology, Internet",United States,Mawi Learning unlocks student and educator potential through research-based online courses., www.mawilearning.com/ ,—,1,1999,"Jun 25, 2019",—,—,—,—,—,—
230,Exponent," Consulting, CRM, Education, Information Technology, SaaS, Software",United States,Exponent helps nonprofits use information technology to carry out their missions more efficiently and effectively., www.exponentpartners.com/ ,info@exponentpartners.com,1,2005,—,—,—,—,—,—,—
231,BITKOM," Digital Media, Information Technology, Internet, IT Infrastructure, Telecommunications",Germany,"BITKOM is the voice of the IT, telecommunications and new media industry.", www.bitkom.org ,bitkom@bitkom.org,—,1999,—,—,—,—,—,—,—
232,Systems," Information Technology, Software",United States,Feith Systems creates class-leading business process management., www.feith.com ,more-info@feith.com,—,1979,—,—,—,—,—,—,—
233,Consulting," Commercial, Consulting, Government, Health Care, Higher Education, Information Technology, Software",United States,LSI Consulting is a computer software company providing SAP systems., www.lsiconsulting.com ,sales@lsiconsulting.com,—,1998,—,—,—,—,—,—,—
234,HMB," Information Services, Information Technology",United States,HMB is a service-based company that offers IT and technology solutions for medium to large companies in various industries., www.hmbnet.com/ ,sales@hmbnet.com,—,1994,—,—,—,—,—,—,—
235,Technology, Information Technology,United States,"ABS offers expertise in Structured Cabling, Networking, Colla, HW + SW, Cloud, Managed Services, Security, LifeCycle Services and Staffing.
", www.abstechnology.com ,hello@abstechnology.com,—,1972,"Aug 26, 2019",—,—,—,—,—,—
236,Zoan," Information Technology, Real Estate, Software, Travel",Finland,Produces high quality 3D modeling in a cost-effective way, zoan.fi/ ,info@zoan.fi,1,2010,—,—,—,—,—,—,—
237,Surveys," Information Technology, Software",United States,Snap Surveys provides survey software and feedback management solutions., www.snapsurveys.com ,sales@snapsurveys.com,—,1981,—,—,—,—,—,—,—
238,Consulting," Consulting, Information Technology, Lead Generation, Marketing, Training",United States,Skaled is a modern sales-consulting firm that helps startup and established companies scale more efficiently., skaled.com ,info@skaled.com,1,"Dec 12, 2012",—,—,—,—,—,—,—
239,Design," Information Services, Information Technology",United States,ASD® provides a single point of contact for the design & project management for Division 27 & 28 of the CSI., www.asd-usa.com/ ,sales@asd-usa.com,—,1987,—,—,—,—,—,—,—
240,Screenpresso," Image Recognition, Information Technology, Motion Capture, Photo Sharing, Software, Training",France,Screenpresso screen capture allows you to grab an image or video of what you see on your computer screen., www.screenpresso.com/ ,contact@screenpresso.com,—,"Jan 1, 2012",—,—,—,—,—,—,—
241,Rivers," Consumer Applications, EdTech, Health Care, Information Technology, mHealth, Mobile, Mobile Apps, Software, Software Engineering, Web Development",United States,"Technology Rivers is a custom software development company (Web, Mobile, Wearables, Cloud, Desktop) Apps, Product Development, MVP, Startups", technologyrivers.com ,info@technologyrivers.com,1,2002,—,—,—,—,—,—,—
242,Science," Chemical, Education, Health Care, Higher Education, Information Technology, Life Science, Medical, Publishing",United Arab Emirates,"Bentham Science Publishers is a publishing company of scientific, technical, and medical literature based in Sharjah.", benthamscience.com/ ,marketing@benthamscience.org,—,1992,—,—,—,—,—,—,—
243,Computers," Hardware, Information Technology, Software",United States,"Sterling Computers Corporation is an IT sales and services company, provides technology solutions to government and education customers.", www.sterlingcomputers.com/ ,info@sterlingcomputers.com,—,1996,—,—,—,—,—,—,—
244,Digital," Information Services, Information Technology",Belgium,EIT Digital is a  European digital innovation and entrepreneurial education organisation., www.eitdigital.eu ,info@eitdigital.eu,—,2010,—,—,—,—,—,—,—
245,Neovation," Information Technology, Software, Training",Canada,Neovation is a research and development company focused on delivering innovative software., neovation.com/ ,info@neovation.com,—,2012,—,—,—,—,—,—,—
246,CannaSOS," Cannabis, Cryptocurrency, Fitness, Health Care, Information Technology, Wellness",Canada,"CannaSOS offers a social web platform to explore, rate, and review the medical aspects of cannabis.", cannasos.com ,investment@cannasos.com,—,"Jul 1, 2014",—,—,—,—,—,—,—
247,TutoTOONS," Apps, Art, Education, Information Technology",Spain,Free drag & drop mobile game builder that lets you create games without coding, tutotoons.com/ ,support@tutotoons.com,—,"Jun 1, 2013",—,—,—,—,—,—,—
248,ImageSpike," Advertising, Education, Information Technology, Internet",Canada,"ImageSpike is a suite of tools that allow users to add social, collaborative, and interactive capabilities to photos.", www.imagespike.com ,invest@emmaactive.com,—,2010,—,—,—,—,—,—,—
249,Inc.," Consulting, Information Technology, Software, Staffing Agency",United States,"Rangam promotes inclusive employment for everyone, including individuals with autism and disabilities as well as disabled veterans.", rangam.com/ ,staffing@rangam.com,2,1995,—,—,—,—,—,—,—
250,CrossBraining," Education, Information Technology, SaaS",United States,"CrossBraining is a competency-as-a-Service (CaaS) video software platform for K-20, vocational, and corporate learning.", www.crossbraining.com ,sales@crossbraining.com,1,2017,—,—,—,—,—,—,—
251,Engines," Analytics, Data Visualization, Information Technology, Real Time, Software",United Kingdom,Analytics Engines provides customers with fast and efficient processing of business and application data., analyticsengines.com ,info@analyticsengines.com,1,2008,—,—,—,—,—,—,—
252,CYBERNETIQ," Consulting, Cyber Security, Information Technology, Infrastructure, Real Time, Security, Software",Canada,CybernetIQ is a growing Canadian software development team focused on the development of innovative products., cybernetiq.ca ,—,1,"Jun 9, 2007",—,—,—,—,—,—,—
253,Lablup," Cloud Computing, Information Technology, Machine Learning, SaaS, Software",South Korea,Lablup is developing technologies for distributed computing for machine learning researches and applications., www.lablup.com/ ,—,3,May 2015,—,—,—,—,—,—,—
254,Birdhouse," EdTech, Health Care, Information Technology",United States,Birdhouse is a social enterprise that provides care coordination technology for developmental disabilities & chronic conditions communities., www.birdhousehq.com ,ben@birdhousehq.com,3,2012,—,—,—,—,—,—,—
255,Solutions," Health Care, Information Technology",United States,PayRight Health Solutions provides patient education and payment processing services for healthcare providers., payrighthealth.com ,—,2,2010,—,—,—,—,—,—,—
256,Developers," Education, Information Technology, Marketing, Sales",United States,Sales Technology and Enablement, www.thesalesdevelopers.com ,Ryan@thesalesdevelopers.com,2,"Apr 1, 2018",—,—,—,—,—,—,—
257,CirrusWorks," Computer, Information Technology, IT Management",United States,"CirrusWorks is a developer of customer management software for childcare, community learning, and education industries.", www.cirrusworks.net/ ,info@cirrusworks.net,2,2011,—,—,—,—,—,—,—
258,Amigo," Education, Fitness, Health Care, Human Resources, Information Technology",United States,Training Amigo is a corporate wellness company providing customizable cloud based software and wellness solutions for your business., www.trainingamigo.com ,nathan@trainingamigo.com,1,"Dec 1, 2013",—,—,—,—,—,—,—
259,People," Education, Information Technology",United Kingdom,They deliver high quality and effective IT and project management courses; we are here to help you succeed., www.learningpeople.co.uk/ ,enquiries@learningpeople.co.uk,1,2010,—,—,—,—,—,—,—
260,Proximie," Artificial Intelligence, Augmented Reality, Education, Health Care, Information Services, Information Technology, Machine Learning, Medical, Software, Telecommunications",United Kingdom,We save lives by sharing the world’s best clinical practice., www.proximie.com/ ,info@proximie.com,2,2016,—,—,—,—,—,—,—
261,DocDelta," Data Integration, Database, Health Care, Hospital, Information Technology, Medical",United States,"DocDelta is a comprehensive, sales, marketing and recruiting platform with the best in class healthcare business data. ", www.docdelta.com/ ,info@docdelta.com,3,Jun 2015,—,—,—,—,—,—,—
262,Nicolette," Health Care, Information Services, Information Technology, Medical",United States,Nicolette operates as a patient empowerment company., nicolette.com ,—,3,"Jan 1, 2016",—,—,—,—,—,—,—
263,Group," Analytics, Enterprise Software, Information Technology, SaaS, Software, Video",United States,"Gorilla Technology Group, Inc. is an independent software solution and SaaS provider that specializes in Video technology and Analytics.", www.gorilla-technology.com/ ,sales.americas@gorilla-technology.com,1,"May 17, 2001",—,—,—,—,—,—,—
264,Foundry," Association, Communities, EdTech, Education, Higher Education, Information Technology, Messaging",Norway,"Makers of Differ, a messaging app with chatbot teaching assistants. 19x increased student engagement. 3x increased course completion rates.", www.differ.chat/ ,kristian@differ.chat,2,"Jan 1, 2015",—,—,—,—,—,—,—
265,Digitability," Digital Marketing, Information Technology, Marketing",United States,"Digitability teaches marketable, digital life skills to promote independence for students in a technology driven society and economy.", digitability.com/ ,—,1,2011,—,—,—,—,—,—,—
266,Us," EdTech, Education, Information Technology",United Kingdom,"Technology Will Save Us is a technology startup that offers DIY gadget kits, activities, and online resources for children.", www.techwillsaveus.com/ ,info@techwillsaveus.com,2,2012,—,—,—,—,—,—,—
267,CourseNetworking," Career Planning, CRM, EdTech, Education, Information Technology, MOOC, Social Media, Software",United States,CourseNetworking offers cloud-based learning tools and services for massive open online courses (MOOC) and classroom-based courses., www.thecn.com/ ,info@thecn.com,1,2011,—,—,—,—,—,—,—
268,Technologies," Artificial Intelligence, Education, Information Technology, Machine Learning",Norway,"Anzyz is an Artificial Intelligence company, which uniquely integrates supervised, unsupervised and manual rule based learning.", www.anzyz.com/ ,contact@anzyz.com,1,"Jan 1, 2014",—,—,—,—,—,—,—
269,CampusESP," Higher Education, Information Services, Information Technology, Social Media",United States,CampusESP helps build your engagement strategy for the modern parent., www.campusesp.com/ ,info@CampusESP.com,2,Jan 2015,—,—,—,—,—,—,—
270,GBooking," Information Services, Information Technology, Small and Medium Businesses, Software",Israel,GBooking is an appointment scheduling and resource optimization system designed especially for service companies., gbooking.biz ,info@gbooking.ru,2,2011,—,—,—,—,—,—,—
271,Technologies," E-Learning, Enterprise Software, Information Technology, Software",United States,Monarch Teaching Technologies offers software for the treatment of children with autism and other communication disorders., www.monarchtt.com ,info@monarchtt.com,1,"May 14, 2005",—,—,—,—,—,—,—
272,Inc.," Education, Information Technology, Internet, Software",United States,Our visual patent drafting interface enables users to easily disclose their ideas and automatically generate patent applications., www.patentdive.com/ ,—,1,"Dec 1, 2013",—,—,—,—,—,—,—
273,Africa," Banking, Education, Finance, Financial Services, FinTech, Information Technology, Productivity Tools",Kenya,Cherehani leverages technology to provide credit bundled with market information and financial education to women micro-entrepreneurs., cherehani.org/ ,info@cherehani.org,3,"Feb 2, 2015",—,—,—,—,—,—,—
274,Systems," Data Center, Information Technology, Software",United States,"Rozo Systems develops RozoFS, a High Performance and High Resilient Software Defined Scale Out NAS", www.rozosystems.com ,info@rozosystems.com,1,"Jul 27, 2010",—,—,—,—,—,—,—
275,Docola," Education, Health Care, Information Technology",United States,Docola is a digital health platform enabling providers to support patients with information & education throughout the care continuum, www.doco.la ,—,3,"Sep 5, 2013",—,—,—,—,—,—,—
276,WeTipp," Apps, Information Services, Information Technology",United Kingdom,WeTipp is the online platform that connects through interests and skills to help groups engage their members., wetipp.com/ ,info@wetipp.com,2,2012,—,—,—,—,—,—,—
277,Resources," Architecture, Consulting, Education, Information Technology, Service Industry, Software, Web Design",United States,OSR Open Systems Resources develops Windows system software and tools., www.osr.com ,info@osr.com,1,"May 26, 1993",—,—,—,—,—,—,—
278,Minutes," Apps, Augmented Reality, EdTech, Education, GPS, Information Technology, Mobile Apps, Predictive Analytics, Public Safety",United States,"Next-Gen tech to combat sexual violence, support survivors & change the culture on college campuses", mysidekickapp.io ,—,1,2016,—,—,—,—,—,—,—
279,Movimento," Education, Information Services, Information Technology, Software",Brazil,"Escola em Movimento offers schools with an online solution to communicate with parents, students, and employees.", www.escolaemmovimento.com.br/ ,contato@escolaemmovimento.com.br,—,2014,—,—,—,—,—,—,—
280,VIATICK, Information Technology,Singapore,Viatick is a bLE specialist in proximity enabled solutions, www.viatick.com/ ,enquiry@viatick.com,1,"Mar 19, 2014",—,—,—,—,—,—,—
281,Boolino," Children, E-Commerce, EBooks, Education, Information Technology, Internet, Publishing, Social Media",Spain,Boolino is a platform that offers free online children books., www.boolino.com ,info@boolino.com,2,"Dec 2, 2011",—,—,—,—,—,—,—
282,Administrate," E-Learning, Education, Enterprise Software, Human Resources, Information Technology, Software, Training",United States,The enterprise training management platform for business results., www.getadministrate.com ,info@getadministrate.com,—,2012,—,—,—,—,—,—,—
283,Co.," Artificial Intelligence, Communities, Consulting, Education, Gamification, Information Technology, Knowledge Management",Hungary,Analogy Co. provides a tool for corporations and communities to access aggregated knowledge of thousands of cases as if it was a consultant., www.analogy.co/ ,info@analogy.co,2,2014,—,—,—,—,—,—,—
284,FromLabs," Education, Enterprise Software, Gamification, Information Technology, Mobile Apps, Software, Telecommunications",Singapore,"An exciting company that incorporates new technology offerings to the fundamental communication, learning and activity based processes.", www.fromlabs.com ,info@fromlabs.com,2,Nov 2012,—,—,—,—,—,—,—
285,Science," Education, Information Technology, Life Science",United States,The Museum of Science is a science center and cultural institution that aims to promote engineering education awareness in the U.S., www.mos.org ,information@mos.org,1,1831,—,—,—,—,—,—,—
286,Ontuitive," Computer, E-Learning, Human Resources, Information Technology, Professional Services, Software, Training",United States,Ontuitive offers an array of electronic performance support solutions to improve employee performance., www.ontuitive.com ,info@ontuitive.com,1,2001,"Oct 25, 2017",—,—,—,—,—,—
287,Institute," Association, Big Data, Education, Information Technology, Legal, Non Profit, Social",United States,Data & Society is an independent nonprofit research institute., www.datasociety.net/ ,info@datasociety.net,1,2013,—,—,—,—,—,—,—
288,EZDOCTOR," Health Care, Information Technology, Internet, Medical, Software",United States,CarFax Reports for Doctors. Online Scheduling and Virtual Medicine. Empowering patients to take responsibility for their healthcare, ezdoctor.com/ ,david.m@ezdoctor.com,1,2013,—,—,—,—,—,—,—
289,EduSourced," EdTech, Education, Enterprise Software, Information Technology, Software",United States,EduSourced is a cloud-based software tool for educators to manage and track industry-sponsored learning projects., www.edusourced.com ,—,2,2012,—,—,—,—,—,—,—
290,EmpowerTheUser," Analytics, Education, Information Technology, Software, Training",Ireland,"EmpowerTheUser is a platform for building soft-skills simulation software for training, assessment, and talent development.", www.etu.ie ,info@empowertheuser.com,2,"Oct 1, 2010",—,—,—,—,—,—,—
291,Profila," Advertising, Big Data, Consumer, Consumer Software, Education, Information Technology, Mobile, Mobile Apps, Privacy",Switzerland,"Creating moments of Truth. Simpler Privacy, better data, smarter content", profila.com ,info@profila.com,2,2015,—,—,—,—,—,—,—
292,Learning," E-Learning, Information Technology, Software, Virtualization",Canada,Hatsize is a cloud-based training labs provider based in Canada., www.hatsize.com ,info@hatsize.com,1,"Sep 1, 2000","Sep 18, 2018","Oct 2, 2018",—,—,—,—,—
293,Technologies," Education, Information Technology, SaaS, Software",United States,Cloud based collaboration and storage app, www.wittybee.com/ ,info@wittybee.net,4,Feb 2012,—,—,—,—,—,—,—
294,Winvision," Education, Government, Health Care, Information and Communications Technology (ICT), Information Services, Information Technology",The Netherlands,"Winvision is a strategic ICT partner of organizations in particular care, education, local government, and construction or  infrastructure.", www.winvision.nl/ ,info@winvision.nl,—,2002,—,—,—,—,—,—,—
295,Research," Big Data, EdTech, Education, Health Care, Information Technology, mHealth, Risk Management",United States,Agency for Student Health Research is an athlete agency that improves the work of sports injury., www.injurefree.com/ ,info@injurefree.com,1,2010,—,—,—,—,—,—,—
296,24x7," Cloud Security, Cyber Security, Information Technology, Management Consulting, Network Security",United States,Fortify 24×7 is a leading managed security services provider offering comprehensive services that cover all aspects of the cyber kill chain., www.fortify24x7.com ,info@fortify24x7.com,2,"Jan 2, 2015",—,—,—,—,—,—,—
297,Pioneers," EdTech, Events, Information Services, Information Technology",Austria,"Pioneers is an International Relationship Builder for the Tech and Startup Scene offering Events, Intelligence, and Investment.", www.pioneers.io ,hi@pioneers.io,2,2009,"May 22, 2018",—,—,—,—,—,—
298,Academy," Education, Information Technology, Women's",Australia,"Girl Geek Academy is a global movement encouraging women to learn technology, create startups and build more of the internet.", girlgeekacademy.com/ ,sarah@girlgeekacademy.com,2,2014,—,—,—,—,—,—,—
299,Tech," Association, Education, Information Technology",United States,VetinTech supports our current and returning veterans by connecting them to the national technology ecosystem., vetsintech.co ,—,1,"Jan 1, 2012",—,—,—,—,—,—,—
300,TrueAbility," Enterprise Software, Information Technology, Skill Assessment, Training",United States,TrueAbility is a performance-based assessment platform., trueability.com ,info@trueability.com,5,2012,—,—,—,—,—,—,—
301,Tigerhall," E-Learning, Education, Information Technology, Internet, Knowledge Management",Singapore,Tigerhall is a knowledge-sharing platform., tigerhall.com/ ,hellotigers@tigerhall.com,1,2018,—,—,—,—,—,—,—
302,Spayee," Education, Information Technology",India,Spayee is a cloud based smart digital reading platform where textbooks are enriched with all the necessary related equipment., www.spayee.com/ ,contact@spayee.com,2,"Feb 20, 2014",—,—,—,—,—,—,—
303,Technologies," Business Development, Consulting, Information Technology, Personal Development",United Kingdom,Roc Technologies is a multi-award winning business and technology services provider., www.roctechnologies.com ,info@roctechnologies.com,1,2011,—,—,—,—,—,—,—
304,Zuvio," Education, Information Technology, Internet, Social Network, Software",China,Zuvio is the largest interactive classroom solution provider for Taiwan's college market & the largest Taiwan college students., www.zuvio.com.tw/ ,contact@zuvio.com.tw,—,"May 31, 2013",—,—,—,—,—,—,—
305,Basys," Developer Platform, Enterprise Software, Government, Information Technology, Robotics, Software",United States,Basys is a technology company that provides integrated software and claims administration solutions., basys.com ,info@infobasys.com,—,1977,—,—,—,—,—,—,—
306,Security," Cyber Security, Information Technology, Risk Management",Canada,"Cybersecurity start-up with a platform for measuring, managing and monitoring holistic cyber risk.", www.beauceronsecurity.com ,INFO@BEAUCERONSECURITY.COM,3,Apr 2016,—,—,—,—,—,—,—
307,Perceivant," Analytics, Education, Information Services, Information Technology, Software",United States,"Perceivant provides evidenced-based content, assessment, and real-time analytics that empower individuals and organizations.", perceivant.com ,info@perceivant.com,1,2012,—,—,—,—,—,—,—
308,Solutions," Information Technology, Security, Software",United States,"Congruent Solutions is an IT and BPO services company that provides technology consulting, data analysis, and mobile app development.", congruentsolutions.com/ ,info@cspl.com,1,2000,—,—,—,—,—,—,—
309,InfoMentor," EdTech, Information Services, Information Technology, Software",Iceland,InfoMentor is an online solution that connects planning with assessment and reduces teachers workload., www.mentor.is ,enquiries@infomentor.co.uk,—,1990,—,—,—,—,—,—,—
310,Hashdoc," Communities, Consulting, Content, Education, Information Technology, Internet, Knowledge Management",Jordan,Social library of professional documents, www.hashdoc.com ,hello@hashdoc.com,1,2011,—,—,—,—,—,—,—
311,Crescerance," Education, Information Technology, Mobile Apps, SaaS",United States,"Crescerance helps schools go mobile through customized mobile solutions such as apps, and mobile websites.", crescerance.com/ ,sales@crescerance.com,1,2011,—,—,—,—,—,—,—
312,Yorktel," Education, Government, Information Technology, Mobile, Telecommunications, Video, Video Conferencing",United States,Yorktel operates as a video conferencing service provider., www.yorktel.com/ ,info@yorktel.com,1,1985,—,—,—,—,—,—,—
313,App," E-Learning, EdTech, Education, Information Technology, Internet",India,"Education, EdTech, K-12 Learning, Internet Technologies, Software, LMS", www.examtyari.in/ ,info@examtyari.in,2,"Aug 27, 2015",—,—,—,—,—,—,—
314,Hardskills," B2B, Business Intelligence, Corporate Training, E-Learning, Enterprise, Information Technology, Software",Singapore,B2B Online learning platform focused on behavioral skills training at scale., www.hardskills.com/ ,info@hardskills.com,3,Apr 2016,—,—,—,—,—,—,—
315,Intelligence," Analytics, Big Data, Corporate Training, Information Technology, Intellectual Property, Mobile, Security",United Kingdom,Chorus Intelligence provides technology that allows authorities to investigate crimes using mobile phone records., chorusintel.com/ ,support@chorusintel.com,1,2011,—,—,—,—,—,—,—
316,OpenGenius," CRM, Education, Information Technology, Software",United Kingdom,"Offering expert training and software solutions. The company behind internationally recognised brands ThinkBuzan, DropTask and HiCortex.", opengenius.com/ ,contact@opengenius.com,1,"Dec 22, 2005",—,—,—,—,—,—,—
317,Inc.," Artificial Intelligence, E-Learning, EdTech, Education, Information Technology",United States,SelfStudy is a learning optimization technology company., selfstudy.com/ ,info@selfstudy.com,2,2017,—,—,—,—,—,—,—
318,Lero," Education, Information Technology, Software",Ireland,"Lero is the Irish software research center, focused on advancing the state-of-the-art in software engineering and related topics.", lero.ie ,info@lero.ie,—,2005,—,—,—,—,—,—,—
319,Software," E-Learning, Information Technology, Internet, Knowledge Management, Productivity Tools, SaaS, Software, Unified Communications",Finland,Sparkwork is a software designed ground-up for frontline employees' productivity. , sparkwork.io ,sales@sparkwork.io,2,"Jan 1, 2016",—,—,—,—,—,—,—
320,MuscleSound," Health Care, Information Technology, Sports, Training",United States,"MuscleSound provides immediate, actionable info that enables individuals to unlock the body’s full potential to improve overall MuscleHealth", musclesound.com/ ,info@musclesound.com,3,2012,—,—,—,—,—,—,—
321,Paladin.ai," Artificial Intelligence, Information Technology, Training",Canada,Paladin AI creates data-driven tools for optimizing training delivery at your center., paladin.ai/ ,info@paladin.ai,—,2013,—,—,—,—,—,—,—
322,EduOne," Education, Higher Education, Information Technology",South Africa,EduOne is a suite of digital education products ranging from information websites to scholarship management platforms., eduone.co.za/ ,info@eduone.co.za,3,2014,—,—,—,—,—,—,—
323,Kloud-12," Education, Information Technology, Internet, Video Streaming",United States,Kloud-12 is compatible with multiple devices and platforms giving teachers the freedom to view and share classroom lessons with ease., kloud-12.com/ ,support@kloud-12.com,—,2019,—,—,—,—,—,—,—
324,9SLIDES," CRM, Information Technology, iOS, Mobile, Presentations, SaaS, Social Media, Software, Training, Video",United States,9SLIDES provides a cloud based presentation platform., www.9SLIDES.com/ ,team@9slides.com,1,"Jun 1, 2010","Jun 17, 2015",—,—,—,—,—,—
325,Hypios," Analytics, Artificial Intelligence, Consulting, EdTech, Information Technology, Innovation Management, Legal, Semantic Web, Software",France,"Hypios combines intelligent crowdsourcing, competency discovery technology, and human outreach to deliver an open problem-solving service.", www.hypios-ci.com ,info@hypios.com,4,2008,—,—,—,—,—,—,—
326,Valarea," Collaboration, EdTech, Enterprise Software, Information Technology, Meeting Software, Software, Video Conferencing",United Kingdom,Collaborative workspace software, www.valarea.com/ ,—,1,2012,—,—,—,—,—,—,—
327,Lab," Association, Education, Government, Information Technology, Non Profit, Software",United Kingdom,The Data Lab is a new innovation centre focussed on helping Scottish industry to capitalise on a growing market opportunity in data science., thedatalab.com ,info@thedatalab.com,—,2014,—,—,—,—,—,—,—
328,Pegwin," Enterprise Software, Health Care, Information Technology, Software, Training",United States,CRG is a health care software company, www.pegwin.io/contact ,info@kbco.re,1,2004,—,—,—,—,—,—,—
329,Learndot," Education, Enterprise Software, Information Technology, Internet, Training",Canada,"Learndot offers a training and certification platform for businesses to build courses for employees, certify customers and educate partners.", www.learndot.com ,get@learndot.com,2,"Mar 1, 2009","Jan 21, 2015",—,—,—,—,—,—
330,Intcas," Apps, Education, Information Technology",United Kingdom,"Intcas is an intelligent communities around students, connecting the world through education.", www.intcas.com ,marketsupport@intcas.com,—,2011,—,—,—,—,—,—,—
331,Lynked.World," Blockchain, Cryptocurrency, Education, Information Technology, Security",The Netherlands,Information Technology and Services, lynked.world/ ,—,1,2017,—,—,—,—,—,—,—
332,SETTA," Education, Health Care, Information Technology, Internet, Wellness",Brazil,"SETTA provide users with bite-sized personal development learning experiences, making self-improvement easier, interactive and effective.", www.setta.co ,contato@setta.co,5,"Jun 1, 2019",—,—,—,—,—,—,—
333,Domoscio," Artificial Intelligence, E-Learning, Information Technology, Training",France,Domoscio is a French start-up specialized in Big Data for learning., www.domoscio.com/ ,contact@domoscio.com,3,2013,—,—,—,—,—,—,—
334,mElimu," EdTech, Education, Emerging Markets, Information Technology",India,Cost Effective Digital University-in-a-Box Platform, www.melimu.com/ ,askus@melimu.com,3,2012,—,—,—,—,—,—,—
335,Education," Apps, Content Creators, EdTech, Education, Information Technology",South Africa,"IDEA is an EdTech company that has created high quality, interactive, data-driven, personalised digital education content and software.", www.ideaonline.com ,info@ideaonline.com,—,Jun 2014,—,—,—,—,—,—,—
336,Limited," Artificial Intelligence, Blockchain, Education, Information Technology, Machine Learning, Social Entrepreneurship, Social Media",Ireland,Vivagogy is changing learning by creating differentiated learning paths and competency assessments with blockchain credentialling . , www.vivagogy.com ,info@vivagogy.com,3,2016,—,—,—,—,—,—,—
337,Pipplet," Education, Information Services, Information Technology, Professional Services, Skill Assessment",France,Language Testing Made Easy for Recruiting, www.pipplet.com/en-gb/home ,contact@pipplet.com,1,"Sep 14, 2015",—,—,—,—,—,—,—
338,Forward," Education, Information Technology, Management Information Systems",United States,The first accelerator exclusively for tech nonprofits., www.ffwd.org ,—,2,2014,—,—,—,—,—,—,—
339,Enlearn," Education, Information Technology, Non Profit",United States,Enlearn is a nonprofit tech company creating personalized and adaptive learning pathways for all students., www.enlearn.org/ ,info@enlearn.org,1,2012,—,—,—,—,—,—,—
340,Plural.com," Consumer Applications, Information Technology, Internet, Marketplace, Professional Networking, Skill Assessment, Social Network, Software",United States,"Plural is reinventing the way the world ""works"".", www.plural.com/ ,—,1,"Apr 15, 2018",—,—,—,—,—,—,—
341,Mygrants," Business Development, Information Technology, Internet, Training",Italy,Mygrants is the most widely used educational online platform for refugees and asylum seekers in Italy., mygrants.it ,info@mygrants.it,1,"Jan 23, 2017",—,—,—,—,—,—,—
342,Information," Artificial Intelligence, Big Data, Enterprise, Information Technology",China,"Huafu Information is committed to research and application development in the fields of artificial intelligence, big data and IT software.", www.hfepay.com/ ,bussiness@hfepay.com,1,2015,—,—,—,—,—,—,—
343,Funderful," Education, Higher Education, Information Technology, Messaging, Software",United States,Funderful is pioneering chatbots in Higher Education, www.funderful.com/ ,hello@itsfunderful.com,1,2013,"Jan 30, 2019",—,—,—,—,—,—
344,SureCert," Education, Information Technology, Internet, Recruiting",United Kingdom,"SureCert is a recruitment platform that sources, stores, shares.", www.surecert.pro/ ,hello@surecert.pro,1,2014,—,—,—,—,—,—,—
345,Coursebase," Apps, Education, Enterprise Software, Human Resources, Information Technology, Software, Training",Japan,Coursebase is a developer of a learning management system used in providing training through an enterprise web application., coursebase.co/ ,team@coursebase.co,3,"Feb 1, 2012",—,—,—,—,—,—,—
346,Metrodigi," Advertising, Information Technology, Publishing, SaaS, Social Media, Software",United States,Leading cloud software authoring platform., www.metrodigi.com ,sales@metrodigi.com,2,2010,—,—,—,—,—,—,—
347,OpenCampus," Cloud Management, Education, Information Technology, Software",Germany,OpenCampus provides an open adaptive software (OAS) framework in the field of education & training., www.opencampus.net ,info@opencampus.net,1,2009,—,—,—,—,—,—,—
348,Research," Finance, Information Technology, Non Profit",Denmark,CFIR is a non-profit association open to companies and organisations with interests within the finance IT area., www.cfir.dk/en-GB/Pages/default.aspx ,cfir@cfir.dk,—,2008,—,—,—,—,—,—,—
349,Cyberith," Electronics, Information Technology, Simulation, Software, Training, Virtual Reality, Visual Search",Austria,Making Virtual Reality even realer., www.cyberith.com ,—,3,"Feb 1, 2014",—,—,—,—,—,—,—
350,iT!," Education, Information Technology",United States,Learn iT is an information technology company specializing in IT training and skill development services., learnit.com ,bolges@elementumit.com,—,1994,—,—,—,—,—,—,—
351,INC," Information Technology, Software",United States,PMAT is an IT company providing programs management and analytics services., pmatinc.com ,—,—,2007,—,—,—,—,—,—,—
352,Technologies," Education, Information Technology",Sri Lanka,The de-facto IT partners with profound technical skills and knowledge with flexible and out-of-box approaches., arima.xyz ,info@arima.xyz,—,"Dec 15, 2015",—,—,—,—,—,—,—
